Species,TotalMiss
Hypoponera_opacior_FMNHINS0003144838 ,15.1817696
Iberoformica_subrufa_CASENT0270631 ,73.0653790
Indomyrma_dasypyx_MCZ594236 ,20.4986378
Iridomyrmex_sanguineus_FMNHINS0003471633 ,11.8933592
Kalathomyrmex_emeryi_USNMENT00924119 ,89.1399999
Kartidris_sparsipila_CASENT0235130 ,14.3825902
Labidus_praedator_FMNHINS0003145665 ,16.2504205
Lachnomyrmex_pilosus_CUIC000115666 ,80.7844030
Lasiomyrma_in01_CASENT0366611 ,38.8451314
Lasiophanes_atriventris_CASENT0106235 ,71.0547321
Lasius_americanus_FMNHINS0000105181 ,11.2267717
Lenomyrmex_foveolatus_CASENT0625812 ,83.4903327
Lepisiota_canescens_CASENT0138305 ,80.5505531
Leptanilla_sp_RA0400atMCZ ,27.8907997
Leptanilloides_nomadus_RA0397atMCZ ,21.0036083
Leptogenys_kitteli_FMNHINS0003165525 ,15.2833574
Leptomyrmex_unicolor_FMNHINS0003145082 ,12.2799206
Leptothorax_sp_RA0366atMCZ ,12.5388375
Linepithema_humile_Genome ,73.0208519
Liometopum_luctuosum_FMNHINS0003145362 ,18.8847770
Liomyrmex_gestroi_CASENT0106198 ,12.2241792
Lioponera_cf_suscitata_CASENT0386895 ,15.4053947
Lividopone_sp_CASENT0732065 ,18.7208512
Lophomyrmex_sp_FMNHINS0003471778 ,27.8842031
Lordomyrma_sp_FMNHINS0003471826 ,13.4178359
Malagidris_jugum_CASENT0494278 ,9.6765682
Manica_hunteri_CASENT0633990 ,17.9246403
Martialis_heureka_CASENT0106181 ,24.5796310
Mayaponera_constricta_CASENT0636005 ,10.8913340
Mayriella_transfuga_RA0265atMCZ ,11.7429565
Megalomyrmex_balzani_FMNHINS0003145684 ,13.4290502
Megaponera_analis_FMNHINS0003165597 ,19.1977862
Melissotarsus_weissi_FMNHINS0003471522 ,12.1559043
Melophorus_sp_FMNHINS0003145083 ,17.0568562
Meranoplus_sp_FMNHINS0003145090 ,10.8263574
Mesoponera_sp_FMNHINS0003471709 ,14.1081712
Messor_bouvieri_RA0347atMCZ ,11.2079713
Metapone_madagascarica_RA0211atMCZ ,21.5646501
Microdaceton_ug01_CASENT0362426 ,77.4069383
Mischocyttarus_flavitarsis_CASENT0106320 ,49.0289789
Monomorium_floricola_FMNHINS0003165137 ,28.5916896
Mycetagroicus_inflatus_USNMENT00539680 ,90.7063651
Mycetarotes_parallelus_USNMENT00539651 ,85.9930868
Mycetomoellerius_zeteki_USNMENT01125246 ,85.8393857
Mycetophylax_simplex_USNMENT00538737 ,88.4727527
Mycetosoritis_hartmanni_USNMENT00924124 ,92.6995310
Mycocepurus_smithii_USNMENT00307504 ,88.2108673
Myopias_maligna_FMNHINS0003471807 ,19.6216184
Myopopone_castanea_RA0326atMCZ ,17.6700111
Myrcidris_epicharis_CASENT0106096 ,18.7815400
Myrmecia_nigrocincta_FMNHINS0003145093 ,14.5003397
Myrmecina_americana_FMNHINS0000105185 ,10.9896235
Myrmecocystus_depilis_FMNHINS0003145369 ,11.3514476
Myrmecorhynchus_emeryi_CASENT0227590 ,84.4682802
Myrmelachista_plebecula_FMNHINS0003145488 ,12.8422816
Myrmica_wheeleri_FMNHINS0003471188 ,10.5878899
Myrmicaria_natalensis_FMNHINS0003165599 ,12.3379708
Myrmicocrypta_sp_FMNHINS0003145508 ,11.1238646
Myrmoteras_sp_CUIC000009611 ,18.7185424
Neivamyrmex_opacithorax_FMNHINS0000062889 ,17.1554755
Neocerapachys_neotropicus_CASENT0732015 ,15.3945103
Neoponera_commutata_FMNHINS0003471648 ,10.4348486
Nesomyrmex_echinatinodis_FMNHINS0003165676 ,14.8667814
Nomamyrmex_esenbeckii_FMNHINS0003471328 ,16.1755490
Leptanilla_zhg_my06_CASENT0106373 ,40.2785749
Nothomyrmecia_macrops_RA0741atMCZ ,11.6908432
Notoncus_sp_RA0303atMCZ ,13.1955301
Notostigma_carazzii_CASENT0106112 ,91.4620068
Novomessor_cockerelli_FMNHINS0003145373 ,12.6097511
Nylanderia_bourbonica_FMNHINS0000062866 ,13.6144149
Ochetellus_sp_FMNHINS0003471721 ,44.5732982
Ochetomyrmex_semipolitus_CUIC000115667 ,12.1258897
Octostruma_sp_CUIC000115668 ,17.3665671
Ocymyrmex_picardi_RA0254atMCZ ,25.7706490
Odontomachus_ruginodis_FMNHINS0000078502 ,12.9376027
Odontoponera_sp_FMNHINS0003471791 ,13.8050570
Oecophylla_smaragdina_CASENT0106113 ,64.6352404
Onychomyrmex_hedleyi_FMNHINS0003145262 ,23.6838113
Ooceraea_australis_CASENT0106146 ,19.3663296
Opamyrma_hungvuong_CASENT0178347 ,22.0712698
Opisthopsis_major_FMNHINS0003145137 ,16.0921019
