Species,TotalMiss
Acanthognathus_ocellatus_CASENT0636076 ,16.6531481
Acanthomyrmex_sp_FMNHINS0003471823 ,16.6181997
Acanthoponera_minor_CASENT0633283 ,13.3093216
Acanthostichus_serratulus_CASENT0732042 ,17.0999132
Acromyrmex_octospinosus_FMNHINS0003145509 ,23.3512335
Acropyga_sp_FMNHINS0003471605 ,14.4224525
Adelomyrmex_longinoi_CASENT0634310 ,18.6285121
Adetomyrma_caputleae_CASENT0500384 ,25.7887503
Adlerzia_froggatti_CASENT0227591 ,15.3741429
Aenictogiton_sp_CUIC000002024 ,25.9457570
Aenictus_sp_FMNHINS0003471835 ,23.5332779
Agraulomyrmex_tz01_CASENT0217051 ,92.3932576
Allomerus_octoarticulatus_FMNHINS0003145672 ,16.8531883
Amblyopone_sp_FMNHINS0003471760 ,19.8120614
Amoimyrmex_striatus_USNMENT00924113 ,88.7711483
Ampulex_compressa_CUICBND1382 ,87.5341333
Ancyridris_polyrhachioides_CASENT0106303 ,21.8607126
Aneuretus_simoni_RA0258atMCZ ,18.9774740
Anillomyrma_sp_CUIC000002091 ,30.0279326
Anochetus_mayri_FMNHINS0003165063 ,13.6056001
Protanilla_boltoni_CASENT0217032 ,23.0935546
Anonychomyrma_gilberti_FMNHINS0003145264 ,16.7016585
Anoplolepis_gracilipes_FMNHINS0003471834 ,22.8700417
Aphaenogaster_pythia_FMNHINS0003145019 ,16.5975959
Aphomomyrmex_afer_CASENT0217049 ,79.9691203
Apis_mellifera_CUIC000115660 ,48.9490719
Apomyrma_stygia_RA0120atMCZ ,45.7849425
Apterostigma_sp_FMNHINS0003145668 ,15.0092717
Aretidris_buenaventei_CASENT0106232 ,17.6825595
Atopomyrmex_mocquerysi_FMNHINS0003471580 ,17.1750260
Atta_cephalotes_FMNHINS0003145587 ,17.1622464
Axinidris_lignicola_RA0253atMCZ ,44.7151058
Azteca_trigona_FMNHINS0003165069 ,23.3105474
Bajcaridris_theryi_CASENT0235255 ,90.0804073
Basiceros_manni_INB0003621345 ,16.1450930
Blepharidatta_brasiliensis_USNMENT00439550 ,93.1391701
Bothriomyrmex_meridionalis_RA0342atMCZ ,21.4019503
Bothroponera_sp_FMNHINS0003471536 ,15.3339784
Brachycistis_timberlakei_CASENT0106315 ,48.7273846
Brachymyrmex_depilis_CASENT0106038 ,87.4689312
Brachyponera_sennaarensis_FMNHINS0003165604 ,14.5924997
Calomyrmex_sp_FMNHINS0003145024 ,15.8216904
Calyptomyrmex_sp_CUIC000115661 ,40.9200804
Camponotus_floridanus_FMNHINS0003145311 ,18.5544425
Cardiocondyla_emeryi_FMNHINS0003145316 ,24.3130955
Carebara_affinis_FMNHINS0003471657 ,18.1491460
Cataglyphis_iberica_RA0387atMCZ ,16.7188718
Cataulacus_sp_FMNHINS0003165593 ,16.9392551
Centromyrmex_brachycola_CUIC000008876 ,13.4039951
Cephalotes_varians_FMNHINS0003144775 ,14.6350115
Cerapachys_antennatus_CASENT0384548 ,18.0516036
Cheliomyrmex_megalonyx_CASENT0732024 ,19.6493168
Chrysapace_cf_jacobsoni_CASENT0391566 ,19.3253926
Chrysis_sp_USNMENT01248288 ,66.2576319
Chyphotes_sp_CASENT0501449 ,54.1952361
Cladomyrma_petalae_CASENT0235222 ,63.1918273
Colobopsis_obliqua_FMNHINS0003145306 ,19.8339693
Colobostruma_sp_RA0376atMCZ ,16.0671113
Crematogaster_ashmeadi_FMNHINS0003145329 ,15.4119602
Cryptopone_butteli_CASENT0635385 ,16.6166349
Cyatta_abscondita_USNMENT00693058 ,93.1462119
Cylindromyrmex_darlingtoni_CASENT0756069 ,20.5428469
Cyphoidris_exalta_CASENT0405993 ,16.2212491
Cyphomyrmex_minutus_FMNHINS0003144816 ,16.4726686
Dacatria_templaris_CASENT0235148 ,15.8915871
Dacetinops_sp_CUIC000115662 ,21.0707235
Daceton_armigerum_FMNHINS0003165241 ,13.5876043
Dasypoda_visnaga_CUICBND977 ,88.1715494
Diacamma_sp_FMNHINS0003165527 ,16.4262446
Dicroaspis_km01_CASENT0145951 ,16.3122713
Dilobocondyla_sp_RA0395atMCZ ,17.4741734
Dinomyrmex_gigas_FMNHINS0003471788 ,23.1955308
Dinoponera_quadriceps_RA0996atMCZ ,17.3716757
Diplomorium_longipenne_CASENT0217046 ,14.8561771
Discothyrea_horni_CASENT0636089 ,20.9682257
Dolichoderus_bispinosus_FMNHINS0003165075 ,21.9402592
Dolopomyrmex_pilatus_RA0719atMCZ ,41.6422593
Dorylus_sp_FMNHINS0003471567 ,22.2474917
Dorymyrmex_bureni_FMNHINS0003145346 ,20.9476218
Eburopone_sp_CASENT0732012 ,16.5715150
Echinopla_australis_FMNHINS0003471654 ,15.6748552
Eciton_burchellii_FMNHINS0003471851 ,24.7272594
Ectatomma_tuberculatum_FMNHINS0003165706 ,15.5021999
Ectomomyrmex_sp_CUIC000115663 ,16.1124919
Epopostruma_quadrispinosa_group_CASENT0625856 ,92.6238123
Euprenolepis_sp_FMNHINS0003471830 ,19.0997932
Eurhopalothrix_procera_FMNHINS0003471708 ,17.4426156
Eusphinctus_sp_CASENT0285681 ,20.2478725
Eutetramorium_mocquerysi_RA0321atMCZ ,81.7300997
Evagetes_parvus_RA0386atMCZ ,64.2788774
Forelius_maranhaoensis_VOUCHER1308 ,28.6991130
Formica_occulta_FMNHINS0003471213 ,15.5509711
Formicoxenus_provancheri_RA0230atMCZ ,17.6429166
Froggattella_kirbii_FMNHINS0003145052 ,17.4426156
Fulakora_cf_orizabana_CASENT0633398 ,21.4830618
Gauromyrmex_acanthinus_CASENT0126225 ,12.9402774
Gesomyrmex_chaperi_RA1124atMCZ ,19.2030734
Gigantiops_destructor_FMNHINS0003145673 ,48.7260806
Gnamptogenys_annulata_FMNHINS0003165073 ,26.1238893
Goniomma_hispanicum_RA0341atMCZ ,16.5848162
Gracilidris_sp_VOUCHER0549 ,21.1549646
Hagensia_havilandi_CUIC000115664 ,20.8305188
Harpagoxenus_sublaevis_CASENT0106289 ,14.5888483
Harpegnathos_sp_CUIC000115665 ,19.5259544
Heterogyna_nocticola_CUICBND1290 ,90.6421889
Heteroponera_panamensis_RA0362atMCZ ,18.3601401
Huberia_brounii_CASENT0106136 ,13.8035538
Hylomyrma_dentiloba_RA0973atMCZ ,18.8867126
