Species,TotalMiss
Chrysolampus_sp_ANIC00035_189 ,10.6014371
Euryischomyia_sp_ANIC00102_189 ,10.9656462
Aclista_sp_USNMENT01322344 ,55.1629097
Acraspis_villosa_USNMENT01322264 ,75.6570529
Adelius_sp_nr_fasciipennis_USNMENT01322246 ,30.0669357
Ademon_sp1_USNMENT01322504 ,9.7942711
Agathis_sp1_USNMENT01322249 ,49.2395905
Agapostemon_tyleri_BND222 ,14.6495718
Alabagrus_sp3_USNMENT01322247 ,27.1581849
Amblyaspis_sp_USNMENT01223891 ,21.2151787
Amitus_sp_USNMENT01223842 ,16.3721823
Ampulex_compressa_BND1382 ,7.1783640
Andricus_lucidus_USNMENT01322256 ,18.9413328
Antistrophus_minor_USNMENT01322280 ,6.3736588
Andricus_quercusoperator_USNMENT01322298 ,18.4811497
Andrena_asteris_HPG17 ,15.3017029
Aphaereta_sp_megalops_USNMENT01322462 ,26.2870361
Aphelonix_persica_USNMENT01322296 ,56.5114677
Aphanogmus_bicolor_PSUC_FEM13632 ,14.9547200
Aphanogmus_steinitzi_PSUC_FEM17568 ,14.4576238
Aphaenogaster_megommata_EX379 ,10.5349936
Aporus_niger_HPG6 ,12.2477606
Apterogyna_sp_EX572 ,53.3074121
Aridelus_sp1_USNMENT01322471 ,15.5896250
Argochrysis_armilla_EX434 ,16.9824786
Ascogaster_provancheri_USNMENT01322454 ,15.7545034
Atrusca_bella_USNMENT00892683 ,87.9811005
Aulacidea_hieracii_USNMENT01322279 ,9.2258096
Aulacodes_nigriventris_USNMENT01322459 ,37.7177872
Austrozele_sp1_USNMENT01322441 ,16.1679299
Ausasaphes_sp_USNMENT01322072 ,22.6474062
Augochloropsis_metallica_EX397 ,7.9781475
Aylax_salviae_USNMENT01322277 ,21.7688749
Aiolomorphus_rhopaloides_USNMENT01322045 ,26.1443055
Axima_zabriskiei_USNMENT01322046 ,16.9184959
Bephratoides_sp1_USNMENT01322049 ,11.0222463
Sycophila_nsp_USNMENT01322053 ,34.2307314
Balcha_indica_USNMENT01322062 ,9.9689930
Eurytoma_sp1_USNMENT01322063 ,12.2428389
Anastatus_reduvii_USNMENT01322064 ,40.8849296
Eusandalum_sp_USNMENT01322070 ,14.6372674
Ormyrus_sp1_USNMENT01322082 ,16.2589822
Perilampus_hyalinus_USNMENT01322083 ,20.4941431
Steffanolampus_sp_USNMENT01322084 ,11.7900384
Podagrionella_sp_USNMENT01322086 ,17.2679398
Chalcedectus_sp_USNMENT01322096 ,6.5016242
Lelaps_sp_USNMENT01322099 ,11.9622994
Colotrechnus_ignotus_USNMENT01322101 ,19.2464810
Scutellista_caerulea_USNMENT01322102 ,61.2314204
Teasienna_sp_USNMENT01322107 ,29.7937789
Metapelma_sp_USNMENT01322173 ,24.0476425
Leucospis_affinis_USNMENT01322176 ,9.0092529
Brachymeria_sp_USNMENT01322177 ,15.0211635
Oodera_sp_USNMENT01322179 ,9.2135053
Phasgonophora_sulcata_USNMENT01322180 ,8.8197657
Monodontomerus_sp2_USNMENT01322181 ,6.8830594
