Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
Myrmoteras_sp_CUIC000009611,23.316674,75,19,36
Zasphinctus_sarowiwai_CASENT0764121,23.307554,100,100,100
Tanipone_aglandula_CASENT0052407,23.297912,43,40,36
Dinomyrmex_gigas_FMNHINS0003471788,23.17492,100,67,100
Protanilla_boltoni_CASENT0217032,23.073034,100,100,100
Royidris_notorthotenes_CASENT0002259,22.921118,99,50,74
Anoplolepis_gracilipes_FMNHINS0003471834,22.881511,99,22,36
Indomyrma_dasypyx_MCZ594236,22.779886,100,76,51
Myrcidris_epicharis_CASENT0106096,22.676697,100,100,81
Parasyscia_dohertyi_CASENT0732020,22.676437,100,100,100
Myopopone_castanea_RA0326atMCZ,22.308763,77,100,100
Dorylus_sp_FMNHINS0003471567,22.28479,100,50,100
Lividopone_sp_CASENT0732065,22.173523,100,100,43
Neivamyrmex_opacithorax_FMNHINS0000062889,22.14043,100,25,49
Manica_hunteri_CASENT0633990,22.132092,100,99,100
Megaponera_analis_FMNHINS0003165597,22.053919,74,43,48
Tetheamyrma_subspongia_CASENT0106305,21.999197,64,44,50
Ancyridris_polyrhachioides_CASENT0106303,21.930145,100,100,44
Dolichoderus_bispinosus_FMNHINS0003165075,21.920764,100,51,100
Tapinoma_melanocephalum_FMNHINS0003145465,21.737318,100,100,100
Poecilomyrma_myrmecodiae_CASENT0106144,21.686766,100,100,100
Fulakora_cf_orizabana_CASENT0633398,21.552829,100,100,75
Bothriomyrmex_meridionalis_RA0342atMCZ,21.382933,51,100,100
Rotastruma_recava_CASENT0106250,21.234144,85,100,100
Tatuidris_sp_RA0399atMCZ,21.218249,49,44,46
Syscia_madrensis_CASENT0732067,21.150238,100,25,24
Gracilidris_sp_VOUCHER0549,21.136167,75,54,100
Labidus_praedator_FMNHINS0003145665,21.076495,100,100,100
Parvaponera_darwinii_CASENT0637361,21.069459,100,50,100
Dacetinops_sp_CUIC000115662,21.052001,100,76,51
Nomamyrmex_esenbeckii_FMNHINS0003471328,21.040535,100,100,100
Dorymyrmex_bureni_FMNHINS0003145346,20.960799,100,72,54
Discothyrea_horni_CASENT0636089,20.949594,99,49,44
Melophorus_sp_FMNHINS0003145083,20.88471,100,100,98
Hagensia_havilandi_CUIC000115664,20.869076,100,44,48
Cylindromyrmex_darlingtoni_CASENT0756069,20.61345,100,74,50
Vollenhovia_sp_FMNHINS0003471799,20.594428,100,76,51
Neocerapachys_neotropicus_CASENT0732015,20.521727,74,50,25
Eusphinctus_sp_CASENT0285681,20.286947,71,100,25
Perissomyrmex_snyderi_CASENT0106226,20.176723,100,99,24
Pseudolasius_sp_FMNHINS0003471809,19.985981,100,100,100
