Species,TotalMiss
AKH03_L2_S2 ,93.727599
AKH04_L1_S3 ,49.507168
AKH05_L2_S21 ,72.267025
AKH06_L1_S22 ,53.629032
AKH58_L1_S59 ,22.267025
AM0001_L1_S1 ,22.087814
AM0004_L1_S41 ,0
AM0005_L1_S11 ,6.227599
AM0009_L1_S9 ,42.517921
AM0010_L1_S3 ,9.722222
AM0011_L1_S31 ,85.483871
AM0016_L1_S41 ,11.917563
AM0017_L1_S1 ,0
AM0018_L1_S1 ,0.716846
AM0020_L1_S12 ,0.179211
AM0024_Cl_S1 ,4.256272
AM0028_L1_S23 ,32.482079
AM0029_L1_S33 ,0.896057
AM0040_L1_S11 ,89.605735
AM0049_L1_S2 ,5.824373
AM0051_L1_S11 ,18.906810
AM0054_L1_S1 ,6.586022
AM0055_L1_S15 ,7.795699
AM0062_L1_S22 ,0.582437
AM0067_L1_S4 ,5.824373
AM0071_L1_S3 ,0
AM0072_A_S4 ,12.813620
AM0073_L1_S24 ,3.987455
AM0084_L1_S13 ,57.123656
AM0088_L1_S22_L1_S4 ,50.537634
AM0091_L1_S16 ,63.844086
AM0100_L1_S7 ,0
AM0101_L1_S8 ,62.679211
AM0108_L1_S5 ,56.854839
AM0121_L1_S28 ,55.600358
AM0128_L1_S16 ,0
AM0130_L1_S17 ,0
AM0136_L1_S5 ,0.716846
AM0137_L1_S9 ,8.602151
AM0140_L1_S28 ,0.134409
AM0141_L1_S29 ,0
AM0142_L1_S37 ,0
AM0144_L1_S18 ,6.675627
AM0145_L1_S38 ,9.677419
AM0147_L1_S5 ,67.965950
AM0150_L1_S23 ,9.543011
AM0164_L2_S40 ,81.406810
AM0165_L1_S6 ,77.329749
AM0167_L1_S10 ,3.673835
AM0168_L1_S19 ,6.541219
AM0170_L1_S30 ,0.806452
AM0173_L1_S14_L1_S9 ,42.831541
AM0178_L1_S48 ,3.853047
AM0182_L1_S7 ,43.637993
AM0193a_L1_S8 ,3.181004
AM0194_L1_S20 ,84.991039
AM0195_L1_S40 ,40.277778
AM0196_L1_S40 ,30.017921
AM0196a_L1_S6 ,37.320789
AM0198_L1_S27_L1_S11 ,51.702509
AM0201_S3 ,0.089606
AM0202_S29 ,1.388889
AM0203_S30 ,0
AM0205_S11 ,59.811828
AM0206_S2 ,0
AM0207_S8 ,13.799283
AM0208_S9 ,0
AM0209_S3 ,0.224014
AM0210_S10 ,22.625448
AM192a_L2_S43 ,76.344086
AM194a_L2_S9 ,4.704301
AM204_L2_S20 ,10.483871
ENT120_AKH30 ,38.664875
ENT121_L1_S14 ,24.775986
ENT128_L1_S2 ,50.985663
ENT129_L1_S3 ,6.137993
ENT130_L1_S4 ,32.616487
ENT131_L1_S5 ,13.620072
ENT132_L1_S6 ,29.032258
ENT133_L1_S4 ,10.035842
ENT134_L1_S1 ,18.951613
ENT135_L1_S19 ,15.008961
ENT138_L1_S8 ,5.555556
ENT139_L1_S5 ,3.091398
ENT141_L1_S9 ,38.261649
ENT161_L1_S15 ,18.413978
ENT184_L1_S15 ,22.267025
ENT217_L1_S14 ,32.123656
ENT247_L1_S31 ,28.315412
ENT256_L1_S25 ,33.422939
ENT83_L1_S22 ,78.091398
ENT84_AKH02 ,52.867384
ENT85_L1_S24 ,24.238351
JDL71_S9 ,56.406810
diochus_sp ,38.351254
lathrobium_brunnipes ,0.134409
othius_punctulatus ,59.991039
paederus_litocharis ,55.017921
philonthus_decorus ,37.858423
quedius_fuliginosus ,50.537634
